año,empresa,establecimiento,rubro,region,provincia,comuna,latitud,longitud,tipo_fuente,combustible_primario,contaminante,cantidad_toneladas
2020.0,CELULOSA ARAUCO Y CONSTITUCION S A,PLANTA ARAUCO,Industria del papel y celulosa,Biobío,Arauco,Arauco,-37.20620981,-73.22433337,Caldera de Generación Eléctrica,Biomasa Combustible,Dióxido de azufre (SO2),-
2020.0,CELULOSA ARAUCO Y CONSTITUCION S A,PLANTA ARAUCO,Industria del papel y celulosa,Biobío,Arauco,Arauco,-37.20620981,-73.22433337,Caldera de Generación Eléctrica,Biomasa Combustible,Dióxido de azufre (SO2),-
2020.0,ASERRADEROS ARAUCO S A,ASERRADEROS VALDIVIA,Industria de la madera y silvicultura,Los Ríos,Valdivia,Mariquina,-39.55502545,-72.90868456,Caldera Industrial (Generadora de Vapor o Agua Caliente),Gas Licuado de Petróleo,Dióxido de azufre (SO2),-
2020.0,AES GENER S A,CENTRAL TERMOELÉCTRICA LAGUNA VERDE,Termoeléctricas,Valparaíso,Valparaíso,Valparaíso,-33.10240084,-71.67282357,Caldera de Generación Eléctrica,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,AES GENER S A,CENTRAL TERMOELÉCTRICA LAGUNA VERDE,Termoeléctricas,Valparaíso,Valparaíso,Valparaíso,-33.10240084,-71.67282357,Caldera de Generación Eléctrica,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,AES GENER S A,CENTRAL TERMOELÉCTRICA LAGUNA VERDE,Termoeléctricas,Valparaíso,Valparaíso,Valparaíso,-33.10240084,-71.67282357,Caldera de Generación Eléctrica,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,AES GENER S A,CENTRAL TERMOELÉCTRICA LAGUNA VERDE,Termoeléctricas,Valparaíso,Valparaíso,Valparaíso,-33.10240084,-71.67282357,Caldera de Generación Eléctrica,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,IANSAGRO S A,IANSAGRO PLANTA ÑUBLE,Otras industrias manufactureras,Ñuble,Punilla,San Carlos,-36.51729735,-72.05750926,Caldera Industrial (Generadora de Vapor o Agua Caliente),Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,SAGESA S.A.,CENTRAL CORONEL,Termoeléctricas,Biobío,Concepción,Coronel,-36.96736935,-73.16843298,Caldera Agua Caliente,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,ELECTRICA NUEVA ENERGIA S.A.,"ELÉCTRICA NUEVA ENERGÍA S.A.,  CENTRAL ESCUADRÓN",Termoeléctricas,Biobío,Concepción,Coronel,-36.93505939,-73.15577821,Caldera Industrial (Generadora de Vapor o Agua Caliente),Biomasa Combustible,Dióxido de azufre (SO2),-
2020.0,SQM INDUSTRIAL S.A.,FAENA COYA SUR,"Industria química, de plástico y caucho",Antofagasta,Tocopilla,María Elena,-22.39896832,-69.62044438,Caldera Industrial (Generadora de Vapor o Agua Caliente),Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
2020.0,GENERADORA ANTILHUE SPA,CENTRAL TERMOELÉCTRICA ANTILHUE,Termoeléctricas,Los Ríos,Valdivia,Valdivia,-39.80114243,-73.18444028,Caldera Agua Caliente,Petróleo N 2 (Diesel),Dióxido de azufre (SO2),-
